Factor 1,Factor 2,Cluster 1,Cluster 2,Distance
Adaptación,Cambio,0,1,3.2139942968314004
Adaptación,Confianza,0,1,2.6968839932653412
Adaptación,Documentación,0,1,1.94843862455353
Adaptación,Habilidades,0,1,2.200337373328778
Adaptación,Incertidumbre,0,1,2.643849330410787
Adaptación,Lealtad,0,1,4.851335669736592
Adaptación,Planificación,0,1,1.9304516195041248
Adaptación,Posicionamiento,0,1,2.652128476317182
Adaptación,Procesos,0,1,3.782299895532877
Adaptación,Protección de la privacidad,0,1,3.1899282990246443
Automatización,Cambio,0,1,3.8943838428556927
Automatización,Confianza,0,1,3.3915437554251984
Automatización,Documentación,0,1,2.24464361815721
Automatización,Habilidades,0,1,3.042740740202063
Automatización,Incertidumbre,0,1,4.462938265558484
Automatización,Lealtad,0,1,5.2847801555236815
Automatización,Planificación,0,1,2.394614454620811
Automatización,Posicionamiento,0,1,3.1459942024360443
Automatización,Procesos,0,1,3.4490310809435862
Automatización,Protección de la privacidad,0,1,3.0207099876755032
Capacitación,Cambio,0,1,3.1795356943102817
Capacitación,Confianza,0,1,2.304833604842732
Capacitación,Documentación,0,1,2.1034358699423725
Capacitación,Habilidades,0,1,2.134155580795502
Capacitación,Incertidumbre,0,1,3.454878730992639
Capacitación,Lealtad,0,1,4.9251932104044505
Capacitación,Planificación,0,1,2.0929826373485847
Capacitación,Posicionamiento,0,1,2.729020044379324
Capacitación,Procesos,0,1,3.8206860347430265
Capacitación,Protección de la privacidad,0,1,2.326390762925892
Clientes,Cambio,0,1,5.209577662664635
Clientes,Confianza,0,1,4.562962841283953
Clientes,Documentación,0,1,3.7145294935499056
Clientes,Habilidades,0,1,5.016413957288948
Clientes,Incertidumbre,0,1,6.629668695566276
Clientes,Lealtad,0,1,3.381361973379078
Clientes,Planificación,0,1,4.904419966266419
Clientes,Posicionamiento,0,1,5.217777238375562
Clientes,Procesos,0,1,3.3128916873253074
Clientes,Protección de la privacidad,0,1,4.975164476450009
Colaboración,Cambio,0,1,3.372412512284434
Colaboración,Confianza,0,1,2.1892712572765904
Colaboración,Documentación,0,1,2.015527624821626
Colaboración,Habilidades,0,1,2.271531517885971
Colaboración,Incertidumbre,0,1,4.404446782324797
Colaboración,Lealtad,0,1,4.194871584913094
Colaboración,Planificación,0,1,2.0380111912900944
Colaboración,Posicionamiento,0,1,2.7561482156186563
Colaboración,Procesos,0,1,3.0008591459734926
Colaboración,Protección de la privacidad,0,1,3.347787181302796
Competencias,Cambio,0,1,2.5014072291719516
Competencias,Confianza,0,1,2.9647954261508
Competencias,Documentación,0,1,2.747915417624613
Competencias,Habilidades,0,1,2.546866935982564
Competencias,Incertidumbre,0,1,3.769749718776671
Competencias,Lealtad,0,1,3.953647437443413
Competencias,Planificación,0,1,2.1795706877820566
Competencias,Posicionamiento,0,1,3.344496370351869
Competencias,Procesos,0,1,2.298836993077995
Competencias,Protección de la privacidad,0,1,3.3217059231962462
Comunicación,Cambio,0,1,3.148909373663977
Comunicación,Confianza,0,1,2.7838674879075755
Comunicación,Documentación,0,1,2.017209215257202
Comunicación,Habilidades,0,1,2.3513984377873114
Comunicación,Incertidumbre,0,1,3.836779413499156
Comunicación,Lealtad,0,1,3.815543938411321
Comunicación,Planificación,0,1,1.9567602937332014
Comunicación,Posicionamiento,0,1,2.539568702507684
Comunicación,Procesos,0,1,3.2263424407603196
Comunicación,Protección de la privacidad,0,1,2.6251356210690235
Conversiones,Cambio,0,1,6.7142595766323625
Conversiones,Confianza,0,1,5.8172679782666865
Conversiones,Documentación,0,1,4.458919683129548
Conversiones,Habilidades,0,1,4.869772779810935
Conversiones,Incertidumbre,0,1,7.427133323356218
Conversiones,Lealtad,0,1,3.6048382119771762
Conversiones,Planificación,0,1,5.235502866385464
Conversiones,Posicionamiento,0,1,5.919308577403691
Conversiones,Procesos,0,1,3.9615818469544273
Conversiones,Protección de la privacidad,0,1,5.7527217852582595
Cultura organizacional,Cambio,0,1,4.2110465351803885
Cultura organizacional,Confianza,0,1,6.410345579807103
Cultura organizacional,Documentación,0,1,2.6230281517020986
Cultura organizacional,Habilidades,0,1,2.5994240716026957
Cultura organizacional,Incertidumbre,0,1,6.111372304372987
Cultura organizacional,Lealtad,0,1,4.1439057463665305
Cultura organizacional,Planificación,0,1,2.225289759430155
