Cluster,Factor 1,Factor 2,Distance
0,Adaptación,Automatización,2.297221290316119
0,Adaptación,Capacitación,1.8891138172750503
0,Adaptación,Clientes,5.180411991949225
0,Adaptación,Colaboración,1.874995722666008
0,Adaptación,Competencias,2.2692216862345815
0,Adaptación,Comunicación,2.0403199042061644
0,Adaptación,Conversiones,3.171050993480763
0,Adaptación,Cultura organizacional,2.57089658681599
0,Adaptación,Ejecución,1.842315956228489
0,Adaptación,Innovación,1.732533069378455
0,Adaptación,Inventarios,2.403314247253018
0,Adaptación,Liderazgo,3.6192972678323048
0,Adaptación,Marca,4.5394144418656035
0,Adaptación,Mejorar eficiencia,2.0966339862230603
0,Adaptación,Optimización,2.2986382545170887
0,Adaptación,Partes interesadas,2.686373183978148
0,Adaptación,Personalización,2.009152089598539
0,Adaptación,Retención,1.8015388745066034
0,Adaptación,Valores organizacionales,2.487487626303739
0,Automatización,Capacitación,2.642542019721291
0,Automatización,Clientes,6.204377275028814
0,Automatización,Colaboración,2.806695000439809
0,Automatización,Competencias,2.89725661668223
0,Automatización,Comunicación,2.0800464266362426
0,Automatización,Conversiones,3.236782275898142
0,Automatización,Cultura organizacional,2.5570264850410753
0,Automatización,Ejecución,2.4423292787410866
0,Automatización,Innovación,1.9328478406127283
0,Automatización,Inventarios,2.581398863141615
0,Automatización,Liderazgo,4.5056991236505315
0,Automatización,Marca,5.166576897393075
0,Automatización,Mejorar eficiencia,2.4572291620516835
0,Automatización,Optimización,1.7986035282485975
0,Automatización,Partes interesadas,3.769605624613474
0,Automatización,Personalización,1.650437556578031
0,Automatización,Retención,2.4649785704623
0,Automatización,Valores organizacionales,2.437237479058037
0,Capacitación,Clientes,4.447927666021124
0,Capacitación,Colaboración,1.6911514390599498
0,Capacitación,Competencias,2.339588347558576
0,Capacitación,Comunicación,1.6866628986617511
0,Capacitación,Conversiones,5.786529376242223
0,Capacitación,Cultura organizacional,2.3766769654417383
0,Capacitación,Ejecución,1.8389908353891717
0,Capacitación,Innovación,1.7917389118192648
0,Capacitación,Inventarios,2.9242416710286605
0,Capacitación,Liderazgo,2.520042718756151
0,Capacitación,Marca,3.01648715350517
0,Capacitación,Mejorar eficiencia,1.9583075154966256
0,Capacitación,Optimización,2.2420746472745745
0,Capacitación,Partes interesadas,2.7571236285687966
0,Capacitación,Personalización,2.279931233626104
0,Capacitación,Retención,1.6748224939379799
0,Capacitación,Valores organizacionales,2.913531088090525
0,Clientes,Colaboración,3.93822034972972
0,Clientes,Competencias,3.6333538981163964
